       x        z     xcen     zcen    i    j inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
0.00e+00 1.31e+12 3.63e+08 1.51e+12    0   29     -1        0  0.00e+00  0.00e+00  9.98e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 0.00e+00 8.37e+08 3.63e+08    1    0      1        0  3.92e+05  3.83e+08  2.16e+06  1.27e+27  0.00e+00  8.50e-18  1.75e+05  8.43e+04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 -1.37e+20  2.03e+20 -1.33e+21       inf       inf  1.41e+06  0.00e+00  1.28e+06 
7.25e+08 7.25e+08 8.37e+08 8.37e+08    1    1      1        0  4.98e+05  3.83e+08  3.24e+06  1.95e+26  0.00e+00  8.64e-18  2.20e+05  8.14e+04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.32e+20  1.31e+19 -3.47e+20       inf       inf  3.64e+05  0.00e+00  3.26e+05 
7.25e+08 9.48e+08 8.37e+08 1.09e+09    1    2      1        0  5.52e+05  3.83e+08  3.76e+06  9.01e+25  0.00e+00  8.49e-18  1.66e+05  8.00e+04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.28e+19 -1.08e+19 -5.55e+19       inf       inf  2.74e+05  0.00e+00  2.42e+05 
7.25e+08 1.24e+09 8.37e+08 1.43e+09    1    3     -1        0  6.29e+05  3.83e+08  4.53e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 1.62e+09 8.37e+08 1.87e+09    1    4     -1        0  7.34e+05  3.83e+08  5.67e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 2.12e+09 8.37e+08 2.44e+09    1    5     -1        0  8.73e+05  3.83e+08  7.35e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 2.77e+09 8.37e+08 3.19e+09    1    6     -1        0  1.05e+06  3.83e+08  9.80e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 3.62e+09 8.37e+08 4.17e+09    1    7     -1        0  1.28e+06  3.83e+08  1.34e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 4.73e+09 8.37e+08 5.45e+09    1    8     -1        0  1.54e+06  3.83e+08  1.85e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 6.18e+09 8.37e+08 7.12e+09    1    9     -1        0  1.85e+06  3.83e+08  2.59e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 8.07e+09 8.37e+08 9.31e+09    1   10     -1        0  2.19e+06  3.83e+08  3.64e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 1.05e+10 8.37e+08 1.22e+10    1   11     -1        0  2.55e+06  3.83e+08  5.11e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 1.38e+10 8.37e+08 1.59e+10    1   12     -1        0  2.90e+06  3.83e+08  7.12e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.25e+08 1.80e+10 8.37e+08 2.08e+10    1   13     -1        0  3.23e+06  3.83e+08  9.81e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
