ew,em,predicted_em,L_line
0.04627722174534733,5.123686952167871e+53,1.0279735482617729e+55,1.3113131154598918e+32
0.11264360816329241,4.701603146922823e+53,5.953268461095816e+53,3.289288107326141e+32
0.1376319618150583,1.098427040832788e+54,2.340209585824399e+54,4.011572652691358e+32
5.642734564913127,1.0324517983938026e+56,1.4215188192227502e+56,1.6870072501441057e+34
0.5192242171301307,1.4081887401091733e+54,8.232393885662461e+54,1.535916683325704e+33
7.630676129702907,9.696956212636777e+55,3.236126039235137e+55,2.278044040121661e+34
11.37575329979312,2.5316504495403223e+57,1.9657273835706402e+57,3.5450943725290544e+34
0.012396026031757552,2.289545183666e+53,1.8117164760070656e+53,3.2973705603422103e+31
0.10838267085751008,5.373426627012001e+53,2.5053067465546736e+54,3.2111598928118702e+32
1.562963278394724,8.601711937416602e+54,9.848275618732296e+54,4.642435446204377e+33
5.42124061655918,2.9728205943594655e+57,5.9821604072221786e+56,1.6503506145292448e+34
1.0282871913761422,3.4530298856008e+54,3.464428334926665e+55,3.05043913275053e+33
7.028257988561116,1.17144171268192e+57,1.3618549964240263e+56,2.144997278509028e+34
12.044566120825682,8.775002664938403e+57,8.272346708584706e+57,3.9694640681571795e+34
0.026693121847596014,1.6726087947649958e+53,4.3975885676056857e+52,7.293167250686787e+31
0.02440720123139037,2.3071977180185023e+53,1.728677110342896e+53,6.538472554033e+31
0.48238114714356367,1.5775821302863095e+54,1.0500542599249142e+55,1.422618544049971e+33
0.11828173623152032,3.3273005594903113e+53,6.081143740148478e+53,3.44405289301818e+32
2.033662408501411,5.395618163890343e+54,2.3904769231340447e+54,6.025213499003897e+33
5.665606862028251,6.901117656407552e+56,1.4520528219935777e+56,1.7387938600628337e+34
0.9090353204953432,1.78899447570342e+54,8.409224423757621e+54,2.6892037917163896e+33
6.86676070776749,4.007270000258642e+56,3.3056375223843934e+55,2.0925418710594592e+34
15.132370378438122,2.469471105031321e+57,2.0079509015184755e+57,5.295221937118967e+34
0.016670249969539565,1.4482890793583801e+53,7.099859291920233e+52,4.337029865642671e+31
0.021993000919862137,2.12944902247691e+53,2.7909305420266254e+53,5.890417942855659e+31
0.7323973943790063,2.946109260349738e+54,1.695301272444277e+55,2.166259315992599e+33
0.0980527499657868,3.0759988868346203e+53,9.817940952239415e+53,2.8491486455755557e+32
2.4118139554336198,7.00828261681091e+54,3.859399198882935e+54,7.149911977689139e+33
7.483931355179927,7.510685118348658e+56,2.34432361329408e+56,2.333115122866063e+34
0.7137070665376313,1.766912329033629e+54,1.3576602095671892e+55,2.108967015143636e+33
8.723857618325463,4.235228026166786e+56,5.336916111686016e+55,2.659856276045191e+34
19.06279568297196,2.7238461830512244e+57,3.241815064483733e+57,6.885428766215288e+34
2.417341317859094,7.556294476732585e+55,7.134315784770626e+55,7.225817013476677e+33
2.9201709176007187,5.732788960914104e+55,1.624146284313433e+55,8.721197101858126e+33
7.250279848791514,2.48174623919048e+57,9.86558863063938e+56,2.19618105413962e+34
0.3421545731871003,3.5753915803137e+54,5.713424994664812e+55,1.0116399760973079e+33
9.167042850510862,1.471708839082272e+57,2.2459279348444145e+56,2.762816339657418e+34
25.055483507909756,5.8200662860073166e+57,1.3642491020199526e+58,8.0568930084037765e+34
0.03405341610917095,2.30021658520812e+53,2.850879295255248e+53,9.429687571705457e+31
1.3127092169473322,1.34526241903142e+55,1.7317160796562593e+55,3.887821052093593e+33
0.05374540553891661,2.69268674362096e+53,1.002882879430359e+54,1.5279232131390008e+32
1.5240130786942787,1.0448800861227852e+55,3.9422984923984055e+54,4.5153157803389664e+33
7.210200471989842,3.129101261037554e+56,2.3946793192728667e+56,2.1795459042561656e+34
0.498688862295702,1.34533691634979e+54,1.3868225393514922e+55,1.4720467329482587e+33
8.40927364308132,2.130526447835999e+56,5.451552238298199e+55,2.5237374794525585e+34
27.34262418738756,2.3227545227136942e+57,3.3114487470090595e+57,9.056684724400018e+34
0.01834906999268116,2.3882179413269998e+53,4.602713860878832e+53,4.878972833288082e+31
1.7890864793683172,1.57337537274393e+55,2.795836925192227e+55,5.307739936544018e+33
0.03802960794243626,2.7684597294849998e+53,1.6191435876203605e+54,1.0756763532345922e+32
